record,start_time_hours,n_beats,median_offset_ms,p95_abs_offset_ms,max_abs_offset_ms
stream_p00000_000137,22.833333,942,0.000000,0.000000,32.000000
stream_p00000_000138,23.000000,930,0.000000,0.000000,0.000000
stream_p00000_000139,23.166667,996,0.000000,0.000000,72.000000
stream_p00000_000140,23.333333,996,0.000000,0.000000,40.000000
stream_p00000_000141,23.500000,987,0.000000,0.000000,4.000000
stream_p00000_000142,23.666667,951,0.000000,0.000000,76.000000
stream_p00000_000143,23.833333,1010,0.000000,0.000000,80.000000
stream_p00000_000144,24.000000,1036,0.000000,0.000000,80.000000
stream_p00000_000145,24.166667,1049,0.000000,0.000000,80.000000
stream_p00000_000146,24.333333,1037,0.000000,0.000000,68.000000
stream_p00000_000147,24.500000,958,0.000000,0.000000,4.000000
stream_p00000_000148,24.666667,1001,0.000000,0.000000,4.000000
stream_p00000_000149,24.833333,1027,0.000000,0.000000,4.000000
stream_p00000_000150,25.000000,900,0.000000,0.000000,4.000000
stream_p00000_000151,25.166667,859,0.000000,0.000000,4.000000
stream_p00000_000152,25.333333,834,0.000000,0.000000,4.000000
stream_p00000_000153,25.500000,846,0.000000,0.000000,4.000000
stream_p00000_000154,25.666667,690,0.000000,0.000000,0.000000
stream_p00000_000155,25.833333,698,0.000000,0.000000,0.000000
stream_p00000_000156,26.000000,719,0.000000,0.000000,80.000000
stream_p00000_000157,26.166667,686,0.000000,0.000000,0.000000
stream_p00000_000158,26.333333,681,0.000000,0.000000,0.000000
stream_p00000_000159,26.500000,682,0.000000,0.000000,4.000000
stream_p00000_000160,26.666667,664,0.000000,0.000000,0.000000
stream_p00000_000161,26.833333,668,0.000000,0.000000,0.000000
stream_p00000_000162,27.000000,840,0.000000,0.000000,72.000000
stream_p00000_000163,27.166667,710,0.000000,0.000000,60.000000
stream_p00000_000164,27.333333,643,0.000000,0.000000,0.000000
stream_p00000_000165,27.500000,667,0.000000,0.000000,0.000000
